User,ID,Name,Model,Version,LastUpdate,Type,sim,lastPicDays,Battery,Signal,PlanName,MaxThisMonth,ThisMonth,Left,Start,End,DaysLeft,AutoRenew,Multishot,Delay
jbhunter52@yahoo.com,5daae2917802b10061ea93aa,3. South Captain,LINK-MICRO-V,V1.18.13-8 Rev:1,12/12/2021,LTE,8944501001196016227,2,65,-104,Basic,250,108,142,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5dab2d16a20b810061350f3f,Dead,LINK-MICRO-V,V1.10.05 HW:1,10/13/2020,LTE,8944501001196015534,-,25,-112,Free,100,0,100,8/4/2021 7:22:05 PM,9/3/2021 7:22:05 PM,-99,False,2,10s
jbhunter52@yahoo.com,5db8e7d6492c4c0062f235ae,4. Galum power pole,LINK-MICRO-V,V1.18.13-8 Rev:1,12/12/2021,LTE,8944501001196152899,2,45,-94,Basic,250,90,160,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5db8e8651bce020062c0d272,8. Mid Den Overspill,LINK-MICRO-V,V1.18.13-8 Rev:1,12/12/2021,LTE,8944501111184546539,1,53,-93,Basic,250,197,53,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5de9443b42558a00614e37c6,7. Den Frag Ocean,LINK-MICRO-V,V1.18.13-8 Rev:1,12/11/2021,LTE,8944500808190205288,2,42,-91,Basic,250,135,115,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5de9636038df40012e99241c,6. SW Denmark Patch,LINK-MICRO-V,V1.18.13-8 Rev:1,12/11/2021,LTE,8944500808190287021,2,78,-87,Basic,250,221,29,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5df15bd046f1ec012e2d26ad,10. Berm South Square,LINK-MICRO-V,V1.18.13-8 Rev:1,12/12/2021,LTE,8944500808190292062,2,42,-91,Basic,250,124,126,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5df7dfafc0da88012f83c905,2. Captain Sign,LINK-MICRO-V,V1.18.13-8 Rev:1,12/11/2021,LTE,8944502406197889101,2,72,-105,Basic,250,88,162,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5f303faecb254c001547634a,1. SE South Square,LINK-MICRO-LTE-V,V1.18.13-8 Rev:2,12/12/2021,LTE,8944501010191540958,2,33,-84,Basic,250,178,72,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5f3040005319eb00155f258f,5. Little Square,LINK-MICRO-V,V1.18.13-8 Rev:1,12/11/2021,LTE,8944502406197811477,2,75,-109,Standard,1000,91,909,12/4/2021 11:50:15 PM,1/4/2022 11:50:15 PM,23,False,1,15min
jbhunter52@yahoo.com,5f304074cb254c001547667a,12. Wallers trailhead,LINK-MICRO-LTE-V,V1.18.13-8 Rev:2,11/7/2021,LTE,8944501010191541774,35,100,-117,Basic,250,0,250,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5f3040d8a5cf6b001521e016,11. Conant Church,LINK-WM-V,V1.18.13-8 Rev:1,12/9/2021,LTE,8944500901199619037,8,65,-103,Basic,250,173,77,8/18/2021 2:20:29 AM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,5f3041304a151d00150a27bd,9. Justin's Truck,LINK-MICRO-LTE-V,V1.18.13-8 Rev:2,11/22/2021,LTE,8944501010191541634,9,21,-95,Basic,250,0,250,9/3/2021 10:18:09 PM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,612e85564e4569001551dc8f,14. Wood Duck North,LINK-MICRO-LTE-V,V1.18.13-3 Rev:2,12/11/2021,LTE,89148000006661117851,2,51,-105,Basic,250,42,208,8/31/2021 7:39:02 PM,8/30/2022 2:21:16 PM,260,False,1,15min
jbhunter52@yahoo.com,612e8f5e65d9dd0014ec26cc,13. NW Denmark se,LINK-MICRO-LTE-V,V1.18.13-3 Rev:2,12/7/2021,LTE,89148000006661119469,6,76,-107,Basic,250,35,215,8/31/2021 8:21:50 PM,8/30/2022 2:21:16 PM,260,False,1,15min
e.beatty27@icloud.com,5debeac521e7d1012e615b4a,North hickory ,LINK-MICRO-V,V1.10.06 HW:1,12/12/2021,LTE,8944500808190240889,1,41,-102,Standard,1000,872,128,11/15/2021 12:11:41 AM,12/15/2021 12:11:41 AM,2,True,2,10s
e.beatty27@icloud.com,5debe13e89004e01304972ca,Bad#2,LINK-MICRO-V,V1.18.13-8 Rev:1,10/13/2021,LTE,8944500808190242240,59,90,-99,Basic,250,0,250,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,1,1min
e.beatty27@icloud.com,5debf094794401012e992579,Bottle neck #2,LINK-MICRO-V,V1.17.12-178 Rev:1,12/12/2021,LTE,8944500808190241168,2,90,-102,Basic,250,138,112,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,2,10s
e.beatty27@icloud.com,5deb0dc4d06576012fc24820,Parachute ,LINK-MICRO-V,V1.17.12-178 Rev:1,12/12/2021,LTE,8944500808190206062,2,57,-106,Standard,1000,372,628,10/15/2021 1:29:26 AM,10/15/2022 1:29:26 AM,306,True,2,instant
e.beatty27@icloud.com,5f1c2bcc173ca30015890226,Sunflowers ,CELL-LINK,V1.01.01 REV 1,10/25/2021,LTE,8944501010191293210,61,100,-106,Basic,250,0,250,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,0,
